item_title,imgLink,material,sex,price
PIKOWANA KURTKA Z KAPTUREM,https://storage.googleapis.com/kraftdrew_marketplace_assets/14024.jpeg,"100% poliester
",M,199.9
"OVERSIZED CHECK BLAZER
",https://storage.googleapis.com/kraftdrew_marketplace_assets/80470.jpeg,63% polyester 路 34% viscose 路 3% elastane,F,69.9
PLATFORM ANKLE BOOTS,https://storage.googleapis.com/kraftdrew_marketplace_assets/28010.jpeg,100% polyester,F,99.9
"DENIM JACKET
",https://storage.googleapis.com/kraftdrew_marketplace_assets/43652.jpeg,"100% cotton
",F,139
"RUFFLED POLKA DOT SHIRT
",https://storage.googleapis.com/kraftdrew_marketplace_assets/30671.jpeg,"100% polyester
",F,99.9
"PUFFER GILET
",https://storage.googleapis.com/kraftdrew_marketplace_assets/69853.jpeg,"100% polyester
",M,199
"RECTANGULAR SUNGLASSES
",https://storage.googleapis.com/kraftdrew_marketplace_assets/27503.jpeg,100% acetate,M,199
FLAG PRINT T-SHIRT,https://storage.googleapis.com/kraftdrew_marketplace_assets/56433.jpeg,"100% cotton
",M,89.9
"FADED CAP
",https://storage.googleapis.com/kraftdrew_marketplace_assets/39203.jpeg,84% cotton 路 12% polyester 路 4% viscose,M,69.9
Bomber Levis,https://storage.googleapis.com/kraftdrew_marketplace_assets/bomber.png,"100% cotton
",M,79.9